System,CPU-Precision,Clock-MHz,MWIPS,MFLOPS,MIPS-VAX,MWIPS-DP,Lang,Opt,Cost-$K,Year-intro
Concurrent 7/16 hwfp,P1,NA,0.085,NA,NA,NA,For,NA,NA,1973
Concurrent 8/16 hwfp,P1,NA,0.128,NA,NA,0.101,For,NA,NA,1976
Concurrent 7/32 hwfp,P1,NA,0.167,NA,NA,0.133,For,NA,NA,1974
Concurrent 8/32 hwfp,P1,NA,0.571,NA,NA,0.339,For,No,45,1975
Concurrent 3210 P1,4,0.538,NA,NA,0.430,For,NA,42,NA
Concurrent 3220,P1,NA,0.536,NA,NA,0.432,For,Opt,NA,NA
Concurrent 3252,P1,3.8,2.77,NA,NA,1.56,For,Op2,171,1985
Cray Cray 1A,P4 Scalar,80,12.4,NA,NA,1.30,For,NA,7000,1978
Cray Cray 1A,P4 Scalar,80,16.2,NA,NA,1.30,For,later,7000,1978
Cray Cray 1S,P4 Scalar,80,16.1,NA,NA,NA,For,NA,NA,1980
Cray Cray 1S,Vector,80,98.0,NA,NA,NA,For,NA,NA,1980
Cray X-MP1,P4 Scalar,118,30.3,11.0,34.7,2.70,For,NA,5000,1982
Cray X-MP1,Vector,118,313,151,175,NA,For,NA,5000,1982
Cray X-MP1,90% Vector,118,162,66.4,125,NA,For,NA,5000,1982
Cray Y-MP1,P4 Scalar,154,31.0,12.0,32.6,2.8,For,NA,5000,1987
Cray Y-MP1,Vector,154,449,195,314,NA,For,NA,5000,1987
Cray Y-MP1,90% Vector,154,191,77.2,169,NA,For,NA,5000,1987
Cray Cray 2/1,P4 Scalar,244,25.8,NA,NA,2.0,For,NA,NA,1984
Cray Cray 2/1,Vector,244,425,NA,NA,NA,For,NA,NA,1984
DEC 10 KA,P6,NA,0.194,NA,NA,0.056,For,NA,NA,1967
DEC 10 KI,P6,NA,0.500,NA,NA,0.250,For,NA,NA,1972
DEC 10 KL,P6,NA,1.22,NA,NA,0.638,For,Opt,NA,1976
DEC 1090,P6,NA,0.388,NA,NA,0.347,Alg,NA,496,1971
DEC 1090,P6,7.5,1.20,NA,NA,0.632,For,NA,496,1971
DEC 2020,P6,NA,0.264,NA,NA,0.102,For,NA,NA,1976
DEC 2040B,P6,NA,0.536,NA,NA,0.314,For,NA,NA,1976
DEC 2050B,P6,NA,0.465,NA,NA,0.417,Alg,NA,NA,1976
DEC 2050B,P6,NA,1.45,NA,NA,0.760,For,NA,NA,1976
DEC PDP-8I,P7,NA,0.0029,NA,NA,NA,For,NA,NA,1968
DEC PDP-8E EAE,P7,NA,0.0051,NA,NA,NA,For,NA,NA,1970
DEC PDP-11/03,P7,NA,0.0027,NA,NA,NA,Bas,NA,NA,1975
DEC PDP-11/03,P7,NA,0.0267,NA,NA,0.0029,For,NA,NA,1975
DEC PDP-11/10,P7,NA,0.0129,NA,NA,0.0032,For,NA,NA,1970
